Index,Town,DrivingTime
0,Andover,40
1,Ansonia,55
2,Ashford,55
3,Avon,0
4,Barkhamsted,20
5,Beacon Falls,45
6,Berlin,25
7,Bethany,48
8,Bethel,68
9,Bethlehem,49
10,Bloomfield,15
11,Bolton,35
12,Bozrah,52
13,Branford,58
14,Bridgeport,64
15,Bridgewater,65
16,Bristol,30
17,Brookfield,63
18,Brooklyn,72
19,Burlington,18
20,Canaan,56
21,Canterbury,73
22,Canton,8
23,Chaplin,63
24,Cheshire,36
25,Chester,48
26,Clinton,60
27,Colchester,46
28,Colebrook,37
29,Columbia,47
30,Cornwall,51
31,Coventry,43
32,Cromwell,33
33,Danbury,65
34,Darien,83
35,Deep River,52
36,Derby,54
37,Durham,43
38,East Granby,23
39,East Haddam,50
40,East Hampton,44
41,East Hartford,26
42,East Haven,56
43,East Lyme,63
44,East Windsor,37
45,Eastford,62
46,Easton,70
47,Ellington,46
48,Enfield,39
49,Essex,51
50,Fairfield,70
51,Farmington,12
52,Franklin,60
53,Glastonbury,34
54,Goshen,41
55,Granby,22
56,Greenwich,93
57,Griswold,70
58,Groton,73
59,Guilford,65
60,Haddam,45
61,Hamden,47
62,Hampton,66
63,Hartford,21
64,Hartland,28
65,Harwinton,26
66,Hebron,48
67,Kent,67
68,Killingly,85
69,Killingworth,55
70,Lebanon,56
71,Ledyard,70
72,Lisbon,61
73,Litchfield,37
74,Lyme,59
75,Madison,61
76,Manchester,33
77,Mansfield,54
78,Marlborough,36
79,Meriden,35
80,Middlebury,43
81,Middlefield,39
82,Middletown,33
83,Milford,61
84,Monroe,64
85,Montville,63
86,Morris,44
87,Naugatuck,41
88,New Britain,23
89,New Canaan,83
90,New Fairfield,69
91,New Hartford,18
92,New Haven,55
93,New London,70
94,New Milford,66
95,Newington,27
96,Newtown,54
97,Norfolk,42
98,North Branford,57
99,North Canaan,51
100,North Haven,46
101,North Stonington,81
102,Norwalk,78
103,Norwich,61
104,Old Lyme,57
105,Old Saybrook,57
106,Orange,58
107,Oxford,52
108,Plainfield,71
109,Plainville,21
110,Plymouth,38
111,Pomfret,69
112,Portland,34
113,Preston,69
114,Prospect,38
115,Putnam,81
116,Redding,74
117,Ridgefield,75
118,Rocky Hill,32
119,Roxbury,59
120,Salem,50
121,Salisbury,63
122,Scotland,64
123,Seymour,48
124,Sharon,65
125,Shelton,54
126,Sherman,78
127,Simsbury,9
128,Somers,49
129,South Windsor,34
130,Southbury,46
131,Southington,30
132,Sprague,66
133,Stafford,53
134,Stamford,87
135,Sterling,78
136,Stonington,85
137,Stratford,67
138,Suffield,30
139,Thomaston,38
140,Thompson,81
141,Tolland,41
142,Torrington,32
143,Trumbull,64
144,Union,51
145,Vernon,34
146,Voluntown,72
147,Wallingford,43
148,Warren,57
149,Washington,56
150,Waterbury,38
151,Waterford,67
152,Watertown,46
153,West Hartford,13
154,West Haven,57
155,Westbrook,59
156,Weston,76
157,Westport,76
158,Wethersfield,28
159,Willington,46
160,Wilton,80
161,Winchester,35
162,Windham,59
163,Windsor,27
164,Windsor Locks,34
165,Wolcott,37
166,Woodbridge,54
167,Woodbury,52
168,Woodstock,70
