Town,Distance
Andover,5M
Avon,5k
Burlington,10k
Deep River,5k
Farmington,5k
Glastonbury,5k
Hartford,Marathon
Manchester,4.74M
New Britain,5k
Newtown,5k
West Hartford,5k
Westport,8.43M
